Row_ID,Order_ID,Order_Date,Ship_Date,Customer_ID,Region,Category,Sub_Category,Sales,Profit
1,CA-2016-152156,11/8/2016,11/11/2016,CG-12520,South,Furniture,Bookcases,261.96,41.9136
2,CA-2016-152156,11/8/2016,11/11/2016,CG-12520,South,Furniture,Chairs,731.94,219.582
3,CA-2016-138688,6/12/2016,6/16/2016,DV-13045,West,Office Supplies,Labels,14.62,6.8714
4,US-2015-108966,10/11/2015,10/18/2015,SO-20335,South,Furniture,Tables,957.5775,-383.031
5,US-2015-108966,10/11/2015,10/18/2015,SO-20335,South,Office Supplies,Storage,22.368,2.5164
6,CA-2014-115812,6/9/2014,6/14/2014,BH-11710,West,Furniture,Furnishings,48.86,14.1694
7,CA-2014-115812,6/9/2014,6/14/2014,BH-11710,West,Office Supplies,Art,7.28,1.9656
8,CA-2014-115812,6/9/2014,6/14/2014,BH-11710,West,Technology,Phones,907.152,90.7152
9,CA-2014-115812,6/9/2014,6/14/2014,BH-11710,West,Office Supplies,Binders,18.504,5.7825
10,CA-2014-115812,6/9/2014,6/14/2014,BH-11710,West,Office Supplies,Appliances,114.9,34.47
11,CA-2014-115812,6/9/2014,6/14/2014,BH-11710,West,Furniture,Tables,1706.184,85.3092
12,CA-2014-115812,6/9/2014,6/14/2014,BH-11710,West,Technology,Phones,911.424,68.3568
13,CA-2017-114412,4/15/2017,4/20/2017,AA-10480,South,Office Supplies,Paper,15.552,5.4432
14,CA-2016-161389,12/5/2016,12/10/2016,IM-15070,West,Office Supplies,Binders,407.976,132.5922
15,US-2015-118983,11/22/2015,11/26/2015,HP-14815,Central,Office Supplies,Appliances,68.81,-123.858
16,US-2015-118983,11/22/2015,11/26/2015,HP-14815,Central,Office Supplies,Binders,2.544,-3.816
17,CA-2014-105893,11/11/2014,11/18/2014,PK-19075,Central,Office Supplies,Storage,665.88,13.3176
18,CA-2014-167164,5/13/2014,5/15/2014,AG-10270,West,Office Supplies,Storage,55.5,9.99
19,CA-2014-143336,8/27/2014,9/1/2014,ZD-21925,West,Office Supplies,Art,8.56,2.4824
20,CA-2014-143336,8/27/2014,9/1/2014,ZD-21925,West,Technology,Phones,213.48,16.011
21,CA-2014-143336,8/27/2014,9/1/2014,ZD-21925,West,Office Supplies,Binders,22.72,7.384
22,CA-2016-137330,12/9/2016,12/13/2016,KB-16585,Central,Office Supplies,Art,19.46,5.0596
23,CA-2016-137330,12/9/2016,12/13/2016,KB-16585,Central,Office Supplies,Appliances,60.34,15.6884
24,US-2017-156909,7/16/2017,7/18/2017,SF-20065,East,Furniture,Chairs,71.372,-1.0196
25,CA-2015-106320,9/25/2015,9/30/2015,EB-13870,West,Furniture,Tables,1044.63,240.2649
26,CA-2016-121755,1/16/2016,1/20/2016,EH-13945,West,Office Supplies,Binders,11.648,4.2224
27,CA-2016-121755,1/16/2016,1/20/2016,EH-13945,West,Technology,Accessories,90.57,11.7741
28,US-2015-150630,9/17/2015,9/21/2015,TB-21520,East,Furniture,Bookcases,3083.43,-1665.0522
29,US-2015-150630,9/17/2015,9/21/2015,TB-21520,East,Office Supplies,Binders,9.618,-7.0532
30,US-2015-150630,9/17/2015,9/21/2015,TB-21520,East,Furniture,Furnishings,124.2,15.525
31,US-2015-150630,9/17/2015,9/21/2015,TB-21520,East,Office Supplies,Envelopes,3.264,1.1016
32,US-2015-150630,9/17/2015,9/21/2015,TB-21520,East,Office Supplies,Art,86.304,9.7092
33,US-2015-150630,9/17/2015,9/21/2015,TB-21520,East,Office Supplies,Binders,6.858,-5.715
34,US-2015-150630,9/17/2015,9/21/2015,TB-21520,East,Office Supplies,Art,15.76,3.546
35,CA-2017-107727,10/19/2017,10/23/2017,MA-17560,Central,Office Supplies,Paper,29.472,9.9468
36,CA-2016-117590,12/8/2016,12/10/2016,GH-14485,Central,Technology,Phones,1097.544,123.4737
37,CA-2016-117590,12/8/2016,12/10/2016,GH-14485,Central,Furniture,Furnishings,190.92,-147.963
38,CA-2015-117415,12/27/2015,12/31/2015,SN-20710,Central,Office Supplies,Envelopes,113.328,35.415
39,CA-2015-117415,12/27/2015,12/31/2015,SN-20710,Central,Furniture,Bookcases,532.3992,-46.9764
40,CA-2015-117415,12/27/2015,12/31/2015,SN-20710,Central,Furniture,Chairs,212.058,-15.147
41,CA-2015-117415,12/27/2015,12/31/2015,SN-20710,Central,Technology,Phones,371.168,41.7564
42,CA-2017-120999,9/10/2017,9/15/2017,LC-16930,Central,Technology,Phones,147.168,16.5564
43,CA-2016-101343,7/17/2016,7/22/2016,RA-19885,West,Office Supplies,Storage,77.88,3.894
44,CA-2017-139619,9/19/2017,9/23/2017,ES-14080,South,Office Supplies,Storage,95.616,9.5616
45,CA-2016-118255,3/11/2016,3/13/2016,ON-18715,Central,Technology,Accessories,45.98,19.7714
46,CA-2016-118255,3/11/2016,3/13/2016,ON-18715,Central,Office Supplies,Binders,17.46,8.2062
47,CA-2014-146703,10/20/2014,10/25/2014,PO-18865,Central,Office Supplies,Storage,211.96,8.4784
48,CA-2016-169194,6/20/2016,6/25/2016,LH-16900,East,Technology,Accessories,45,4.95
49,CA-2016-169194,6/20/2016,6/25/2016,LH-16900,East,Technology,Phones,21.8,6.104
50,CA-2015-115742,4/18/2015,4/22/2015,DP-13000,Central,Office Supplies,Binders,38.22,17.9634
